alveolar fibroblast	#66153A
bronchial smooth muscle cell	#FA6767
club cell	#795548
lung microvascular endothelial cell	#509343
vascular associated smooth muscle cell	#8C78A7
myofibroblast cell	#C76BDA
mesothelial cell	#7DCEA0
pulmonary ionocyte	#34A673
pancreatic pp cell	#BAEB13
pancreatic alpha cell	#d7fdfd
pancreatic delta cell	#8be46e
duodenum glandular cell	#5AB8AF
endothelial cell of vascular tree	#BB55E0
intestinal epithelial cell	#6BC83A
myeloid cell	#B46268
innate lymphoid cell	#59D885
glial cell	#28CE60
chromaffin cell	#6CC3AF
erythroblast	#73CD31
hepatoblast	#BD54A1
hepatic stellate cell	#0FC08E
hematopoietic stem cell	#6E8E7F
megakaryocyte	#8A43E9
epithelial cell of lower respiratory tract	#4C6E9A
ciliated epithelial cell	#62DA91
neuroendocrine cell	#CE35E6
squamous epithelial cell	#D0C03C
visceromotor neuron	#D27258
native cell	#70D37E
acinar cell	#3caa0a
endocrine cell	#67DCD5
enteric neuron	#B041E3
brush cell	#5B20C8
Mesenchyme subtype 2	#e4b974
Mesenchyme subtype 3	#d6a5fa
Mesenchyme subtype 1	#b22760
Mesenchyme subtype 4	#47edd1
Intestinal epithelium	#ED496F
Proliferative mesenchyme	#a3e3af
Mesenchyme subtype 5	#854f49
Macrophage/monocyte 2	#B09C85
T cell/NK cell 2	#eb1388
Endothelial	#CD534C
Basal like	#E68A54
Distal lung epithelium	#85C1E9
Erythroblast	#73CD31
PNS neuron	#868686
PNS glia	#AFB9D1
Pericyte	#573794
Chondrocyte	#08f8eb
Gastrointestinal epithelium	#0073C2
Ciliated	#1c15bc
B cell	#c251a1
Macrophage/monocyte 1	#7E6148
MUC2+ goblet	#8e3101
T cell/NK cell 1	#fe52cf
Enteroendocrine	#F7DC6F
Undefined	gray
Hepatocyte	#7788cd
Mesothelial cell	#7DCEA0
adult	#1f77b4
d47	#ff7f0e
d59	#2ca02c
d72	#d62728
d80	#9467bd
d85	#c49c94
d101	#f7b6d2
d122	#c7c7c7
d127	#dbdb8d
d132	#9edae5
